id,Evidence_id,Property_id,source_id,target_id,Type_id,Article_id,priority,conflict_note,unvetted,linking_quote,interpretation_notes,property_type_explanation,pc_flag,soma_pcl_flag,ax_de_pcl_flag,perisomatic_targeting_flag,supplemental_pmids
1,1,0,0,0,1000,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
2,2,0,0,0,1000,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
3,3,0,0,0,1000,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
4,4,0,0,0,1000,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
5,5,0,0,0,1000,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
6,6,0,0,0,1000,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
7,7,0,0,0,1000,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
8,8,0,0,0,1000,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
9,9,0,0,0,1002,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
10,10,0,0,0,1002,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
11,11,0,0,0,1002,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
12,12,0,0,0,2000,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
13,13,0,0,0,2000,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
14,14,0,0,0,2028,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
15,15,0,0,0,3000,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
16,16,0,0,0,3000,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
17,17,0,0,0,4004,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
18,18,0,0,0,4008,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
19,19,0,0,0,4011,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
20,20,0,0,0,4015,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
21,21,0,0,0,4035,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
22,22,0,0,0,4035,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
23,23,0,0,0,4035,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
24,24,0,0,0,4035,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
25,25,0,0,0,4036,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
26,26,0,0,0,4036,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
27,27,0,0,0,4036,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
28,28,0,0,0,4036,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
29,29,0,0,0,4036,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
30,30,0,0,0,4036,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
31,31,0,0,0,4043,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
32,32,0,0,0,4048,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
33,33,0,0,0,4069,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
34,34,0,0,0,4069,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
35,35,0,0,0,4078,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
36,36,0,0,0,4078,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
37,37,0,0,0,4078,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
38,38,0,0,0,4078,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
39,39,0,0,0,4078,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
40,40,0,0,0,4078,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
41,41,0,0,0,4078,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
42,42,0,0,0,4078,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
43,43,0,0,0,4078,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
44,44,0,0,0,4080,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
45,45,0,0,0,4080,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
46,46,0,0,0,4081,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
47,47,0,0,0,4081,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
48,48,0,0,0,4084,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
49,49,0,0,0,4084,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
50,50,0,0,0,4084,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
51,51,0,0,0,4084,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
52,52,0,0,0,4098,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
53,53,0,0,0,4098,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
54,54,0,0,0,4098,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
55,55,0,0,0,4098,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
56,56,0,0,0,4099,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
57,57,0,0,0,4099,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
58,58,0,0,0,4099,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
59,59,0,0,0,4099,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
60,60,0,0,0,4111,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
61,61,0,0,0,4116,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
62,62,0,0,0,4121,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
63,63,0,0,0,4138,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
64,64,0,0,0,4138,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
65,65,0,0,0,4138,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
66,66,0,0,0,4138,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
67,67,0,0,0,4139,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
68,68,0,0,0,4146,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
69,69,0,0,0,4146,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
70,70,0,0,0,4146,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
71,71,0,0,0,4168,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
72,72,0,0,0,4168,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
73,73,0,0,0,4168,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
74,74,0,0,0,4168,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
75,75,0,0,0,6003,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
76,76,0,0,0,6003,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
77,77,0,0,0,6008,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
78,78,0,0,0,6008,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
79,79,0,0,0,6017,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
80,80,0,0,0,6019,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
81,81,0,0,0,6019,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
82,82,0,0,0,6092,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
