"evidence_ID","neurite_ID","type_ID","original_id","fragment_id","Article_id","priority","conflict_note","unvetted","linking_quote","interpretation_notes","property_type_explanation","pc_flag","soma_pcl_flag","ax_de_pcl_flag","perisomatic_targeting_flag","supplemental_pmids"
1,0,1000,0,1,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
2,0,1000,0,2,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
3,0,1000,0,3,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
4,0,1000,0,4,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
5,0,1000,0,5,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
6,0,1000,0,6,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
7,0,1000,0,7,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
8,0,1000,0,8,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
9,0,1000,0,9,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
10,0,1000,0,10,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
11,0,1000,0,11,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
12,0,1000,0,12,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
13,0,1000,0,13,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
14,0,1000,0,14,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
15,0,1000,0,15,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
16,0,1000,0,16,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
17,0,1000,0,17,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
18,0,1000,0,18,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
19,0,1000,0,19,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
20,0,1000,0,20,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
21,0,1000,0,21,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
22,0,1002,0,22,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
23,0,1002,0,23,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
24,0,1002,0,24,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
25,0,1002,0,25,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
26,0,1002,0,26,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
27,0,1002,0,27,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
28,0,1002,0,28,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
29,0,1002,0,29,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
30,0,1002,0,30,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
31,0,1002,0,31,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
32,0,1002,0,32,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
33,0,1002,0,33,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
34,0,1002,0,34,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
35,0,1002,0,35,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
36,0,1002,0,36,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
37,0,2000,0,37,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
38,0,2000,0,38,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
39,0,2000,0,39,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
40,0,2000,0,40,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
41,0,2000,0,41,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
42,0,2000,0,42,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
43,0,2000,0,43,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
44,0,2000,0,44,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
45,0,2000,0,45,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
46,0,2000,0,46,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
47,0,2000,0,47,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
48,0,2000,0,48,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
49,0,2000,0,49,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
50,0,2000,0,50,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
51,0,2000,0,51,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
52,0,2000,0,52,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
53,0,2000,0,53,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
54,0,2000,0,54,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
55,0,2000,0,55,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
56,0,2000,0,56,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
57,0,2000,0,57,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
58,0,2000,0,58,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
59,0,2000,0,59,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
60,0,2000,0,60,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
61,0,2000,0,61,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
62,0,2000,0,62,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
63,0,2000,0,63,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
64,0,2000,0,64,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
65,0,2000,0,65,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
66,0,2000,0,66,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
67,0,2000,0,67,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
68,0,2000,0,68,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
69,0,2000,0,69,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
70,0,2000,0,70,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
71,0,2000,0,71,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
72,0,2000,0,72,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
73,0,2000,0,73,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
74,0,2000,0,74,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
75,0,2004,0,75,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
76,0,2004,0,76,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
77,0,2004,0,77,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
78,0,2004,0,78,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
79,0,2004,0,79,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
80,0,2004,0,80,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
81,0,2004,0,81,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
82,0,2004,0,82,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
83,0,2004,0,83,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
84,0,2004,0,84,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
85,0,2004,0,85,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
86,0,2004,0,86,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
87,0,2004,0,87,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
88,0,2004,0,88,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
89,0,2004,0,89,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
90,0,2004,0,90,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
91,0,2000,0,91,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
92,0,2000,0,92,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
93,0,2000,0,93,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
94,0,2000,0,94,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
95,0,2000,0,95,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
96,0,2000,0,96,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
97,0,2000,0,97,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
98,0,2004,0,98,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
99,0,2004,0,99,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
100,0,2004,0,100,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
101,0,2004,0,101,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
102,0,2004,0,102,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
103,0,2004,0,103,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
104,0,2004,0,104,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
105,0,2028,0,105,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
106,0,2028,0,106,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
107,0,2028,0,107,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
108,0,2028,0,108,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
109,0,2028,0,109,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
110,0,2028,0,110,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
111,0,2028,0,111,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
112,0,2028,0,112,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
113,0,2028,0,113,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
114,0,2028,0,114,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
115,0,2028,0,115,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
116,0,2028,0,116,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
117,0,2028,0,117,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
118,0,2028,0,118,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
119,0,2028,0,119,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
120,0,2028,0,120,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
121,0,2028,0,121,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
122,0,2028,0,122,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
123,0,2028,0,123,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
124,0,2028,0,124,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
125,0,2028,0,125,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
126,0,2028,0,126,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
127,0,2028,0,127,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
128,0,2028,0,128,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
129,0,2028,0,129,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
130,0,2028,0,130,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
131,0,2028,0,131,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
132,0,2028,0,132,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
133,0,2028,0,133,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
134,0,2028,0,134,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
135,0,2028,0,135,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
136,0,2028,0,136,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
137,0,2028,0,137,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
138,0,2028,0,138,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
139,0,2043,0,139,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
140,0,2043,0,140,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
141,0,2043,0,141,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
142,0,2043,0,142,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
143,0,2043,0,143,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
144,0,2044,0,144,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
145,0,2044,0,145,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
146,0,2044,0,146,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
147,0,2044,0,147,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
148,0,2044,0,148,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
149,0,2044,0,149,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
150,0,2044,0,150,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
151,0,2044,0,151,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
152,0,2044,0,152,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
153,0,2044,0,153,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
154,0,2044,0,154,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
155,0,2044,0,155,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
156,0,2044,0,156,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
157,0,2049,0,157,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
158,0,2049,0,158,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
159,0,2049,0,159,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
160,0,2049,0,160,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
161,0,3000,0,161,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
162,0,3000,0,162,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
163,0,3000,0,163,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
164,0,3000,0,164,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
165,0,3000,0,165,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
166,0,3000,0,166,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
167,0,3000,0,167,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
168,0,3000,0,168,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
169,0,3000,0,169,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
170,0,3000,0,170,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
171,0,3000,0,171,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
172,0,3000,0,172,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
173,0,3000,0,173,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
174,0,3000,0,174,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
175,0,3000,0,175,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
176,0,3000,0,176,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
177,0,3000,0,177,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
178,0,3000,0,178,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
179,0,3000,0,179,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
180,0,3000,0,180,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
181,0,3000,0,181,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
182,0,3000,0,182,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
183,0,3000,0,183,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
184,0,3000,0,184,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
185,0,3000,0,185,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
186,0,3000,0,186,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
187,0,4000,0,187,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
188,0,4000,0,188,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
189,0,4000,0,189,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
190,0,4000,0,190,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
191,0,4000,0,191,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
192,0,4000,0,192,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
193,0,4000,0,193,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
194,0,4000,0,194,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
195,0,4000,0,195,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
196,0,4000,0,196,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
197,0,4000,0,197,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
198,0,4000,0,198,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
199,0,4000,0,199,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
200,0,4000,0,200,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
201,0,4000,0,201,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
202,0,4000,0,202,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
203,0,4000,0,203,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
204,0,4000,0,204,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
205,0,4000,0,205,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
206,0,4000,0,206,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
207,0,4000,0,207,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
208,0,4000,0,208,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
209,0,4000,0,209,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
210,0,4000,0,210,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
211,0,4000,0,211,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
212,0,4000,0,212,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
213,0,4000,0,213,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
214,0,4000,0,214,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
215,0,4000,0,215,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
216,0,4000,0,216,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
217,0,4000,0,217,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
218,0,4000,0,218,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
219,0,4000,0,219,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
220,0,4000,0,220,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
221,0,4000,0,221,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
222,0,4000,0,222,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
223,0,4000,0,223,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
224,0,4000,0,224,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
225,0,4000,0,225,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
226,0,4000,0,226,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
227,0,4000,0,227,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
228,0,4000,0,228,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
229,0,4000,0,229,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
230,0,4000,0,230,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
231,0,4000,0,231,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
232,0,4000,0,232,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
233,0,4000,0,233,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
234,0,4000,0,234,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
235,0,4000,0,235,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
236,0,4000,0,236,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
237,0,4000,0,237,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
